,Date,Month,Year,Holidays_Count,Days,PM2.5,PM10,NO2,SO2,CO,Ozone,AQI,Date_Str,Confirmed,Recovered,Deceased,Daily_Confirmed,Daily_Recovered,Daily_Deceased
2021-01-01,1,1,2021,0,5,408.8,442.42,160.61,12.95,2.77,43.19,462,2021-1-1,625954,610039,10557,585.0,717.0,21.0
2021-01-02,2,1,2021,0,6,404.04,561.95,52.85,5.18,2.6,16.43,482,2021-1-2,626448,610535,10571,494.0,496.0,14.0
2021-01-03,3,1,2021,1,7,225.07,239.04,170.95,10.93,1.4,44.29,263,2021-1-3,626872,611243,10585,424.0,708.0,14.0
2021-01-04,4,1,2021,0,1,89.55,132.08,153.98,10.42,1.01,49.19,207,2021-1-4,627256,611970,10597,384.0,727.0,12.0
2021-01-05,5,1,2021,0,2,54.06,55.54,122.66,9.7,0.64,48.88,149,2021-1-5,627698,612527,10609,442.0,557.0,12.0
2021-01-06,6,1,2021,0,3,155.59,180.14,142.71,10.29,1.18,44.47,252,2021-1-6,628352,613246,10625,654.0,719.0,16.0
2021-01-07,7,1,2021,0,4,118.39,131.18,98.87,9.81,0.73,48.6,288,2021-1-7,628838,614026,10644,486.0,780.0,19.0
2021-01-08,8,1,2021,0,5,140.05,184.29,102.61,10.34,0.79,43.06,248,2021-1-8,629282,614849,10654,444.0,823.0,10.0
2021-01-09,9,1,2021,0,6,144.01,192.43,108.43,10.41,0.85,42.23,326,2021-1-9,629801,615452,10666,519.0,603.0,12.0
2021-01-10,10,1,2021,1,7,131.57,180.38,93.31,9.92,0.69,51.96,284,2021-1-10,630200,616054,10678,399.0,602.0,12.0
2021-01-11,11,1,2021,0,1,135.92,208.99,105.07,10.49,0.75,55.06,281,2021-1-11,630506,616461,10691,306.0,407.0,13.0
2021-01-12,12,1,2021,0,2,172.48,220.74,111.52,10.21,0.91,41.69,329,2021-1-12,630892,617006,10707,386.0,545.0,16.0
2021-01-13,13,1,2021,0,3,224.71,330.04,125.83,7.27,1.22,31.49,378,2021-1-13,631249,617540,10718,357.0,534.0,11.0
2021-01-14,14,1,2021,0,4,345.82,417.42,142.59,8.49,1.75,32.11,422,2021-1-14,631589,617930,10722,340.0,390.0,4.0
2021-01-15,15,1,2021,0,5,462.62,517.76,178.15,10.11,2.51,25.81,456,2021-1-15,631884,618357,10732,295.0,427.0,10.0
2021-01-16,16,1,2021,0,6,185.66,230.76,124.98,7.39,1.65,27.53,388,2021-1-16,632183,618754,10738,299.0,397.0,6.0
2021-01-17,17,1,2021,1,7,222.01,249.23,136.15,9.56,1.4,36.8,342,2021-1-17,632429,619139,10746,246.0,385.0,8.0
2021-01-18,18,1,2021,0,1,232.16,318.1,210.31,14.92,1.32,28.17,401,2021-1-18,632590,619501,10754,161.0,362.0,8.0
2021-01-19,19,1,2021,0,2,227.93,299.28,185.82,12.98,1.69,23.02,400,2021-1-19,632821,619723,10764,231.0,222.0,10.0
2021-01-20,20,1,2021,0,3,159.91,193.78,142.41,7.45,0.88,31.96,322,2021-1-20,633049,620128,10774,228.0,405.0,10.0
2021-01-21,21,1,2021,0,4,182.39,243.84,276.46,5.6,1.5,33.7,328,2021-1-21,633276,620374,10782,227.0,246.0,8.0
2021-01-22,22,1,2021,0,5,310.98,358.0,181.5,4.4,2.29,26.88,412,2021-1-22,633542,620693,10789,266.0,319.0,7.0
2021-01-23,23,1,2021,0,6,170.36,213.65,143.41,4.06,0.75,34.18,362,2021-1-23,633739,621060,10799,197.0,367.0,10.0
2021-01-24,24,1,2021,1,7,230.38,287.86,123.99,3.05,0.81,27.77,370,2021-1-24,633924,621375,10808,185.0,315.0,9.0
2021-01-25,25,1,2021,0,1,186.34,311.67,17.33,6.28,1.25,25.82,345,2021-1-25,634072,621565,10813,148.0,190.0,5.0
2021-01-26,26,1,2021,1,2,207.46,344.53,21.93,9.03,1.34,26.24,369,2021-1-26,634229,621783,10820,157.0,218.0,7.0
2021-01-27,27,1,2021,0,3,216.71,397.43,34.5,7.94,1.23,24.33,371,2021-1-27,634325,621995,10829,96.0,212.0,9.0
2021-01-28,28,1,2021,0,4,294.71,496.55,40.31,9.89,1.9,26.13,373,2021-1-28,634524,622114,10835,199.0,119.0,6.0
2021-01-29,29,1,2021,0,5,301.61,396.57,118.81,4.94,2.28,21.55,440,2021-1-29,634773,622381,10841,249.0,267.0,6.0
2021-01-30,30,1,2021,0,6,209.05,306.17,99.31,4.76,1.46,30.8,363,2021-1-30,634956,622671,10849,183.0,290.0,8.0
2021-01-31,31,1,2021,1,7,222.87,323.33,123.23,4.43,2.06,26.95,368,2021-1-31,635096,622882,10853,140.0,211.0,4.0
2021-02-01,1,2,2021,0,1,285.13,398.91,117.62,4.76,2.09,30.4,400,2021-2-1,635217,623096,10856,121.0,214.0,3.0
2021-02-02,2,2,2021,0,2,304.79,416.62,127.92,6.06,2.5,24.16,408,2021-2-2,635331,623256,10858,114.0,160.0,2.0
2021-02-03,3,2,2021,0,3,209.32,299.0,159.84,3.83,1.92,28.02,367,2021-2-3,635481,623409,10864,150.0,153.0,6.0
2021-02-04,4,2,2021,0,4,134.66,170.25,114.15,3.13,1.04,36.53,352,2021-2-4,635639,623574,10871,158.0,165.0,7.0
2021-02-05,5,2,2021,0,5,68.49,116.65,113.61,3.82,0.72,30.54,142,2021-2-5,635793,623714,10873,154.0,140.0,2.0
2021-02-06,6,2,2021,0,6,131.68,182.92,102.59,5.08,0.85,34.79,261,2021-2-6,635916,623865,10877,123.0,151.0,4.0
2021-02-07,7,2,2021,1,7,180.68,241.07,96.85,5.47,1.18,34.4,279,2021-2-7,636035,624044,10879,119.0,179.0,2.0
2021-02-08,8,2,2021,0,1,243.78,369.18,108.35,4.32,1.73,30.28,375,2021-2-8,636160,624182,10882,125.0,138.0,3.0
2021-02-09,9,2,2021,0,2,226.95,332.06,149.74,4.89,1.89,27.91,385,2021-2-9,636260,624326,10882,100.0,144.0,0.0
2021-02-10,10,2,2021,0,3,250.09,373.71,139.35,5.43,2.4,27.67,359,2021-2-10,636387,624457,10884,127.0,131.0,2.0
2021-02-11,11,2,2021,0,4,201.81,317.99,105.41,4.6,1.72,24.75,370,2021-2-11,636529,624592,10886,142.0,135.0,2.0
